dataset,model,gene,pearson,css
Breast Visium CID44971,novosparc,ighm,0.2804960084882812,0.6113571854334253
Breast Visium CID44971,novosparc,tagln,0.2754599023525503,0.6512418900056508
Breast Visium CID44971,novosparc,zyx,0.2753426086687598,0.7715797141826373
Breast Visium CID44971,novosparc,c1s,0.2752923131133009,0.524072008075416
Breast Visium CID44971,novosparc,dynlrb1,0.2749033684993076,0.8252650971230534
Breast Visium CID44971,novosparc,pgam1,0.2742438072315871,0.8299329271314362
Breast Visium CID44971,novosparc,cd86,0.2732804254376914,0.3622038819333049
Breast Visium CID44971,novosparc,cd53,0.2725574067161944,0.5603662921270585
Breast Visium CID44971,novosparc,psmb9,0.2704206236552158,0.6651696641623529
Breast Visium CID44971,novosparc,kdelr2,0.268005012998622,0.8172162664417713
Breast Visium CID44971,novosparc,cnn1,0.264545517792972,0.4603280172915005
Breast Visium CID44971,novosparc,coa3,0.2623383763941421,0.6854565567720189
Breast Visium CID44971,novosparc,tmed9,0.2604025271712238,0.7419840734293682
Breast Visium CID44971,novosparc,ndrg2,0.2599180052260279,0.6245228753571493
Breast Visium CID44971,novosparc,morf4l2,0.2578967141676308,0.7839462921511517
Breast Visium CID44971,novosparc,meox1,0.257212509145831,0.3159650208852688
Breast Visium CID44971,novosparc,spcs1,0.2551044892114559,0.7920470696185574
Breast Visium CID44971,novosparc,kifc1,0.2546002797841382,0.39865767732805246
Breast Visium CID44971,novosparc,junb,0.2542466396565546,0.7515009138279575
Breast Visium CID44971,novosparc,atp1b1,0.2538813668080305,0.625447965232446
Breast Visium CID44971,novosparc,ddx17,0.2528064015718239,0.8750904832429881
Breast Visium CID44971,novosparc,dynll1,0.2523553179649255,0.9063930799546948
Breast Visium CID44971,novosparc,lrp1,0.2515382224186517,0.49890600163453735
Breast Visium CID44971,novosparc,irf7,0.2508256436858866,0.5320189522024512
Breast Visium CID44971,novosparc,ptafr,0.2496964925735387,0.3243782480211207
Breast Visium CID44971,novosparc,gstm3,0.2477282123709544,0.5106610827294464
Breast Visium CID44971,novosparc,cyr61,0.246902353349819,0.6170261739534314
Breast Visium CID44971,novosparc,samhd1,0.2467599345381056,0.6513410985430972
Breast Visium CID44971,novosparc,timp3,0.2444094131522446,0.5272894660110763
Breast Visium CID44971,novosparc,mpeg1,0.2426628744440324,0.39796944781535676
Breast Visium CID44971,novosparc,mcm2,0.2425448870606477,0.4824511315252975
