dataset,model,gene,pearson,css
Breast Visium CID44971,tangram,oasl,0.1535594705386233,0.26957347989082336
Breast Visium CID44971,tangram,rac1,0.1528946375772256,0.841315746307373
Breast Visium CID44971,tangram,rps3,0.15166282560154,0.9719887971878052
Breast Visium CID44971,tangram,gstt2b,0.1490180682483601,0.2974535822868347
Breast Visium CID44971,tangram,cdt1,0.1450421405015803,0.3950485587120056
Breast Visium CID44971,tangram,ece1,0.1433719473150427,0.680773138999939
Breast Visium CID44971,tangram,sptssa,0.1412325157250776,0.5993714332580566
Breast Visium CID44971,tangram,gng2,0.1381366904277947,0.32816511392593384
Breast Visium CID44971,tangram,spon2,0.1369455140671316,0.5923425555229187
Breast Visium CID44971,tangram,tmem59,0.1360736470612325,0.8108134269714355
Breast Visium CID44971,tangram,pou2f2,0.1357040126953845,0.2930367887020111
Breast Visium CID44971,tangram,tspan4,0.1338889311777368,0.5539687871932983
Breast Visium CID44971,tangram,cystm1,0.133508032832853,0.5079199075698853
Breast Visium CID44971,tangram,notch3,0.1325970659878143,0.6986840963363647
Breast Visium CID44971,tangram,ptgdr,0.131358885659498,0.1732308566570282
Breast Visium CID44971,tangram,swap70,0.1309729184975434,0.49920645356178284
Breast Visium CID44971,tangram,rpl32,0.1251624230933792,0.9811218976974487
Breast Visium CID44971,tangram,matk,0.1228115591119917,0.2797696888446808
Breast Visium CID44971,tangram,arhgap29,0.1222207560534621,0.37538257241249084
Breast Visium CID44971,tangram,a4galt,0.1198851030269751,0.28698471188545227
Breast Visium CID44971,tangram,lama2,0.119774559121201,0.3326512277126312
Breast Visium CID44971,tangram,ugdh,0.1157197649882369,0.5366454720497131
Breast Visium CID44971,tangram,hopx,0.1145846380302282,0.33899667859077454
Breast Visium CID44971,tangram,cnrip1,0.113081256677377,0.2221621423959732
Breast Visium CID44971,tangram,fam13c,0.1129719087119018,0.19483673572540283
Breast Visium CID44971,tangram,neurl1b,0.1102436131110726,0.27926960587501526
Breast Visium CID44971,tangram,uqcrhl,0.1090260884205487,0.26807165145874023
Breast Visium CID44971,tangram,fcrla,0.1087497676274899,0.16956695914268494
Breast Visium CID44971,tangram,rab27a,0.1063889722607515,0.3973943889141083
Breast Visium CID44971,tangram,fkbp11,0.1052520916382593,0.3792620897293091
Breast Visium CID44971,tangram,abca6,0.1045668380738181,0.19845178723335266
Breast Visium CID44971,tangram,klf4,0.1038692451649804,0.39182552695274353
Breast Visium CID44971,tangram,nudt4,0.1036236734820525,0.6580486297607422
Breast Visium CID44971,tangram,filip1,0.1032752932659786,0.1378445327281952
Breast Visium CID44971,tangram,map1lc3a,0.1001256555008894,0.6253889203071594
Breast Visium CID44971,tangram,sirpg,0.0995623134449747,0.21841874718666077
Breast Visium CID44971,tangram,ets2,0.0993925136220628,0.4942559599876404
Breast Visium CID44971,tangram,sesn1,0.0993381690347917,0.4629344046115875
Breast Visium CID44971,tangram,st3gal1,0.0972501937714813,0.35925957560539246
Breast Visium CID44971,tangram,btk,0.0970227570268711,0.21603724360466003
Breast Visium CID44971,tangram,siva1,0.0959166060997133,0.6625736951828003
Breast Visium CID44971,tangram,ostf1,0.0943338093253181,0.3989998400211334
Breast Visium CID44971,tangram,tspan32,0.0938126122509944,0.17311450839042664
Breast Visium CID44971,tangram,smc2,0.0930513178056817,0.3770829141139984
Breast Visium CID44971,tangram,hmgb1,0.0904263419600726,0.880466103553772
Breast Visium CID44971,tangram,flt3lg,0.0873863947802124,0.18298393487930298
Breast Visium CID44971,tangram,myo1b,0.0847879370930993,0.5143294334411621
Breast Visium CID44971,tangram,h2afx,0.0836906946240075,0.5776873826980591
Breast Visium CID44971,tangram,parp15,0.0831960581419126,0.18764257431030273
Breast Visium CID44971,tangram,pyhin1,0.0821338690293193,0.17833924293518066
Breast Visium CID44971,tangram,arfgap3,0.0820557513871451,0.486662894487381
Breast Visium CID44971,tangram,rrbp1,0.0814757538112582,0.7273730039596558
Breast Visium CID44971,tangram,socs2,0.0805843084531513,0.25765448808670044
Breast Visium CID44971,tangram,adap2,0.0803023223990423,0.26078298687934875
Breast Visium CID44971,tangram,vps51,0.0800703104665456,0.6322258114814758
Breast Visium CID44971,tangram,rdx,0.0794683982193447,0.5478442907333374
Breast Visium CID44971,tangram,mrvi1,0.0775201218015973,0.3033266067504883
Breast Visium CID44971,tangram,tmem243,0.0747317709589478,0.3446842432022095
Breast Visium CID44971,tangram,il4r,0.0740456731078298,0.466724693775177
Breast Visium CID44971,tangram,tubb2a,0.073210490570983,0.5442856550216675
Breast Visium CID44971,tangram,dnajb1,0.071651053239865,0.6690387725830078
Breast Visium CID44971,tangram,lamb1,0.0706216299791892,0.6159195303916931
Breast Visium CID44971,tangram,cenpm,0.0705056072500335,0.2596571147441864
Breast Visium CID44971,tangram,rora,0.0681285921750411,0.25589609146118164
Breast Visium CID44971,tangram,smc1a,0.0666111464670632,0.5649747252464294
Breast Visium CID44971,tangram,tmem88,0.0652363695508223,0.18620970845222473
Breast Visium CID44971,tangram,csf3r,0.0649228384835066,0.25551459193229675
Breast Visium CID44971,tangram,snai1,0.0639327608778295,0.20283260941505432
Breast Visium CID44971,tangram,p2ry14,0.0556537964869411,0.13587428629398346
Breast Visium CID44971,tangram,lipe,0.055082089011472,0.16675357520580292
Breast Visium CID44971,tangram,ccdc102b,0.054896308646027,0.18601207435131073
Breast Visium CID44971,tangram,stap1,0.0533802967276606,0.12122786790132523
Breast Visium CID44971,tangram,orai2,0.0515574465849588,0.43488809466362
Breast Visium CID44971,tangram,mapk1,0.0513110991278845,0.5473405718803406
Breast Visium CID44971,tangram,smim3,0.0484057473344482,0.30719611048698425
Breast Visium CID44971,tangram,gmppb,0.0478456877822383,0.37182873487472534
Breast Visium CID44971,tangram,tlr10,0.0435897938923977,0.14952129125595093
Breast Visium CID44971,tangram,linc00996,0.0411620308892714,0.13600897789001465
Breast Visium CID44971,tangram,sec14l1,0.0371431188859585,0.48070839047431946
Breast Visium CID44971,tangram,tsen54,0.0358611023553371,0.44676074385643005
Breast Visium CID44971,tangram,rpl18,0.0358307084851901,0.9745884537696838
Breast Visium CID44971,tangram,c12orf75,0.034491650162064,0.474498987197876
Breast Visium CID44971,tangram,mtss1,0.0340344114255462,0.41979652643203735
Breast Visium CID44971,tangram,dnajb9,0.0306929116691919,0.39734211564064026
Breast Visium CID44971,tangram,rnf125,0.0270804360152339,0.2601153552532196
Breast Visium CID44971,tangram,fbln7,0.0270300124881741,0.2745179831981659
Breast Visium CID44971,tangram,tcf19,0.0268487247484747,0.2546181380748749
Breast Visium CID44971,tangram,veph1,0.0254338087594207,0.12226168066263199
Breast Visium CID44971,tangram,rcan2,0.0253524006593823,0.14221429824829102
Breast Visium CID44971,tangram,cd40lg,0.017073978226587,0.1394021064043045
Breast Visium CID44971,tangram,plek2,0.0162257657361613,0.15280787646770477
Breast Visium CID44971,tangram,tnfrsf13c,0.0151231062790815,0.15848442912101746
Breast Visium CID44971,tangram,ncam1,0.0031235791441456,0.04032570868730545
Breast Visium CID44971,tangram,fgfbp2,-0.0020989716042432,0.0342697873711586
Breast Visium CID44971,tangram,akap5,-0.0022219295377547,0.1298588067293167
Breast Visium CID44971,tangram,lgals9b,-0.0161913867017589,0.0008526146411895752
Breast Visium CID44971,tangram,hist1h1e,-0.0163872026087409,0.10080303996801376
Breast Visium CID44971,tangram,cachd1,-0.0231362422343735,0.2890881299972534
Breast Visium CID44971,tangram,mtrnr2l12,-0.2885630245067131,0.8076707720756531
Breast Visium CID44971,spage,tmsb10,0.7938479265112101,0.9931694865226746
Breast Visium CID44971,spage,rps4x,0.6738917572212937,0.9874737858772278
Breast Visium CID44971,spage,rps15,0.6336199634121327,0.9862576127052307
Breast Visium CID44971,spage,rpl26,0.6299433004536849,0.9721918106079102
Breast Visium CID44971,spage,rpl3,0.6182831551259583,0.979172945022583
Breast Visium CID44971,spage,hla-a,0.5946283381648135,0.9461463689804077
Breast Visium CID44971,spage,rpl12,0.5861248347793664,0.9880518317222595
Breast Visium CID44971,spage,rpl29,0.582703469565421,0.987721860408783
Breast Visium CID44971,spage,hdac2,0.5540102591080532,0.8110156059265137
Breast Visium CID44971,spage,rps28,0.547960118202771,0.9907276034355164
Breast Visium CID44971,spage,rpl9,0.546254811607527,0.9850857853889465
Breast Visium CID44971,spage,rpl17,0.5417951444269052,0.9158881902694702
Breast Visium CID44971,spage,sf3b6,0.5401994100626807,0.8965491056442261
Breast Visium CID44971,spage,cacybp,0.5349099034660988,0.8226782083511353
Breast Visium CID44971,spage,uqcrh,0.5285402102139907,0.9018438458442688
Breast Visium CID44971,spage,snrpf,0.5193188280390109,0.8258107900619507
Breast Visium CID44971,spage,rpl5,0.5107617796640561,0.9701801538467407
Breast Visium CID44971,spage,rpl7a,0.4957486867385646,0.984847903251648
Breast Visium CID44971,spage,naca,0.4940911210131601,0.9674510955810547
Breast Visium CID44971,spage,cirbp,0.4937490303709475,0.8651002049446106
Breast Visium CID44971,spage,hla-e,0.4886359382218591,0.8803268074989319
Breast Visium CID44971,spage,gdi2,0.4663409224873169,0.8593601584434509
Breast Visium CID44971,spage,ilf2,0.4579083200685235,0.8372004628181458
Breast Visium CID44971,spage,pecam1,0.457790822070536,0.5601894855499268
Breast Visium CID44971,spage,ifitm3,0.4565633361516015,0.8003725409507751
Breast Visium CID44971,spage,ppdpf,0.4483373336549147,0.9310252666473389
Breast Visium CID44971,spage,cct3,0.4350757919372471,0.8357211947441101
Breast Visium CID44971,spage,rpl38,0.4326206747625265,0.9672783613204956
Breast Visium CID44971,spage,ndrg2,0.4280743349264984,0.7067451477050781
Breast Visium CID44971,spage,tbc1d10c,0.4265728888526559,0.5760118365287781
Breast Visium CID44971,spage,adirf,0.424423047528747,0.5780375003814697
Breast Visium CID44971,spage,rplp2,0.423762591595697,0.9863753914833069
Breast Visium CID44971,spage,tcp1,0.4180298222504134,0.7875988483428955
Breast Visium CID44971,spage,cryab,0.4159122792324046,0.7432747483253479
Breast Visium CID44971,spage,c2orf40,0.4145295819460688,0.4980771839618683
Breast Visium CID44971,spage,serpina1,0.4101645841061678,0.5731083750724792
Breast Visium CID44971,spage,psme2,0.4094685609829694,0.7925452589988708
Breast Visium CID44971,spage,cd93,0.4068879515324629,0.5021576881408691
Breast Visium CID44971,spage,rps13,0.4041633848551252,0.9806776642799377
Breast Visium CID44971,spage,cotl1,0.4018249444397531,0.6711642146110535
Breast Visium CID44971,spage,pdia6,0.4014275925891536,0.8630937337875366
Breast Visium CID44971,spage,c1qa,0.4011589283050819,0.5125161409378052
Breast Visium CID44971,spage,tymp,0.3983631423124265,0.7076702117919922
Breast Visium CID44971,spage,s100a6,0.3966023150745362,0.9374369978904724
Breast Visium CID44971,spage,rpl31,0.3964725673039717,0.9723642468452454
Breast Visium CID44971,spage,col1a2,0.3957021669986926,0.45601844787597656
Breast Visium CID44971,spage,spint2,0.3954133798551744,0.796292781829834
Breast Visium CID44971,spage,pik3r1,0.3935472932977493,0.6458962559700012
Breast Visium CID44971,spage,mrps35,0.3929084824045502,0.691786527633667
Breast Visium CID44971,spage,tmem258,0.3897072627491744,0.8819066882133484
Breast Visium CID44971,spage,gstm3,0.3833142500046719,0.5828040242195129
Breast Visium CID44971,spage,c1orf43,0.375446415702637,0.7915427088737488
Breast Visium CID44971,spage,lman1,0.3744749319628086,0.7920633554458618
Breast Visium CID44971,spage,srsf5,0.3726700084567471,0.7712788581848145
Breast Visium CID44971,spage,ptpn6,0.3715859088983895,0.6007476449012756
Breast Visium CID44971,spage,hsbp1,0.3693531591704975,0.8248682618141174
Breast Visium CID44971,spage,mgp,0.369256642278463,0.8699758648872375
Breast Visium CID44971,spage,trac,0.3674753860307915,0.6039749383926392
Breast Visium CID44971,spage,eef2,0.3673415815800733,0.9530733823776245
Breast Visium CID44971,spage,lst1,0.3657994099383009,0.48545339703559875
Breast Visium CID44971,spage,st13,0.3635326210083951,0.8209162354469299
Breast Visium CID44971,spage,hla-dmb,0.361556065286436,0.5174428224563599
Breast Visium CID44971,spage,col6a2,0.3614329366526401,0.4801456332206726
Breast Visium CID44971,spage,tpbg,0.3587103169843133,0.5239915251731873
Breast Visium CID44971,spage,gng5,0.3559003128171314,0.874244749546051
Breast Visium CID44971,spage,ptges3,0.3530025938004056,0.8853059411048889
Breast Visium CID44971,spage,pkib,0.3526868553588257,0.469824880361557
Breast Visium CID44971,spage,lgals1,0.3475487680853995,0.8144066333770752
Breast Visium CID44971,spage,nnmt,0.3436729020798378,0.5813690423965454
Breast Visium CID44971,spage,rhob,0.3432210799363983,0.7404794692993164
Breast Visium CID44971,spage,arhgap9,0.3396736489183082,0.48324665427207947
Breast Visium CID44971,spage,cxcr4,0.3388358961572143,0.7263028025627136
Breast Visium CID44971,spage,pafah1b3,0.3363305077135783,0.6583788394927979
Breast Visium CID44971,spage,trim29,0.3308516938554068,0.44045716524124146
Breast Visium CID44971,spage,efhd1,0.3274271292915303,0.6493600606918335
Breast Visium CID44971,spage,fos,0.3225842153550998,0.7823858857154846
Breast Visium CID44971,spage,gpsm3,0.3216969605793693,0.4925999939441681
Breast Visium CID44971,spage,rps16,0.3193960515937777,0.9811702966690063
Breast Visium CID44971,spage,cnn2,0.3193259086149921,0.730655312538147
Breast Visium CID44971,spage,selplg,0.3176107225758796,0.4665817618370056
Breast Visium CID44971,spage,tmpo,0.3138461900464786,0.6484429240226746
Breast Visium CID44971,spage,rpn1,0.3133315230870624,0.7848652005195618
Breast Visium CID44971,spage,maob,0.3120648312608504,0.40832212567329407
Breast Visium CID44971,spage,ctsz,0.310125886160447,0.5627897381782532
Breast Visium CID44971,spage,kcnmb1,0.3100857076073197,0.44474178552627563
Breast Visium CID44971,spage,slc16a3,0.3100714200563574,0.4691961109638214
Breast Visium CID44971,spage,ccl14,0.3092457565777634,0.32529371976852417
Breast Visium CID44971,spage,vopp1,0.3074179484322032,0.5335198640823364
Breast Visium CID44971,spage,tnfrsf1b,0.3072342520426717,0.5178697109222412
Breast Visium CID44971,spage,mmrn2,0.3045223437191498,0.3521326184272766
Breast Visium CID44971,spage,sub1,0.3030343113569276,0.8818327784538269
Breast Visium CID44971,spage,dap3,0.3027330297160702,0.7155459523200989
Breast Visium CID44971,spage,ifngr2,0.3022030910683431,0.6996604204177856
Breast Visium CID44971,spage,acap1,0.2977543501627077,0.4782102704048157
Breast Visium CID44971,spage,ndufv2,0.2959425805325626,0.7768588662147522
Breast Visium CID44971,spage,cd2,0.2950435879569911,0.5114028453826904
Breast Visium CID44971,spage,ctgf,0.2946634137209238,0.5429169535636902
Breast Visium CID44971,spage,sept1,0.2930852606880245,0.4890812635421753
Breast Visium CID44971,spage,cst7,0.292666865273368,0.4572857618331909
Breast Visium CID44971,spage,atp6v0b,0.2901270235323975,0.8067433834075928
Breast Visium CID44971,spage,mme,0.289783954813142,0.3741537034511566
Breast Visium CID44971,spage,aebp1,0.2876413475202545,0.4281153082847595
Breast Visium CID44971,spage,ppia,0.2824844775470028,0.964061975479126
Breast Visium CID44971,spage,hla-dqa2,0.2799530077467378,0.46347349882125854
Breast Visium CID44971,spage,rab4a,0.2797892161379512,0.631563127040863
Breast Visium CID44971,spage,pabpc1,0.2797026961384776,0.9511625170707703
Breast Visium CID44971,spage,ssr3,0.2794152798455836,0.7969878315925598
Breast Visium CID44971,spage,tns4,0.2790811447443556,0.3748639225959778
Breast Visium CID44971,spage,pdcd4,0.2788726619272672,0.7836928963661194
Breast Visium CID44971,spage,plxdc2,0.2785624123379462,0.6349661350250244
Breast Visium CID44971,spage,tpx2,0.2783239741946534,0.4626067578792572
Breast Visium CID44971,spage,efhd2,0.2763435917800851,0.5534982681274414
Breast Visium CID44971,spage,ing4,0.2736210486135579,0.6142169833183289
Breast Visium CID44971,spage,aplp2,0.2713813752501316,0.8072646260261536
Breast Visium CID44971,spage,lck,0.2680134660128494,0.43246155977249146
Breast Visium CID44971,spage,slc25a5,0.2679467644992745,0.787084698677063
Breast Visium CID44971,spage,ddx17,0.264807865011384,0.8708179593086243
Breast Visium CID44971,spage,snx20,0.2607966148589694,0.3763265609741211
Breast Visium CID44971,spage,cox7a1,0.2573184290704121,0.41814127564430237
Breast Visium CID44971,spage,rhog,0.257104929032814,0.6066817045211792
Breast Visium CID44971,spage,tpp1,0.2544043519985641,0.6290284395217896
Breast Visium CID44971,spage,rab31,0.2526981746599951,0.40679216384887695
Breast Visium CID44971,spage,aoah,0.2507349621998428,0.38982662558555603
Breast Visium CID44971,spage,cav1,0.2501879155398963,0.453284353017807
Breast Visium CID44971,spage,htra1,0.2498765654964933,0.4619368016719818
Breast Visium CID44971,spage,dnmt1,0.247962798566652,0.6634227633476257
Breast Visium CID44971,spage,s100a10,0.2469892140104213,0.7979411482810974
Breast Visium CID44971,spage,rbpms,0.2461323438487127,0.5083438158035278
Breast Visium CID44971,spage,zfp36l2,0.245246101009816,0.8941038250923157
Breast Visium CID44971,spage,sirpa,0.2423788873578775,0.41655319929122925
Breast Visium CID44971,spage,clec7a,0.2405247041051238,0.38569796085357666
Breast Visium CID44971,spage,lat,0.2403662640883712,0.4430387318134308
Breast Visium CID44971,spage,tsc22d3,0.240149736600504,0.7470766305923462
Breast Visium CID44971,spage,pim1,0.2387355134689015,0.4604753851890564
Breast Visium CID44971,spage,cdkn1a,0.2382912334443633,0.5493040084838867
Breast Visium CID44971,spage,tshz2,0.237152673845516,0.4167962968349457
Breast Visium CID44971,spage,rrm1,0.2342129360612327,0.5175702571868896
Breast Visium CID44971,spage,kdelr1,0.231614383722804,0.716715931892395
Breast Visium CID44971,spage,mcm2,0.2272692956429549,0.42690175771713257
Breast Visium CID44971,spage,sdcbp,0.2266159372955902,0.6817545294761658
Breast Visium CID44971,spage,pdlim4,0.2265162774996306,0.46754056215286255
Breast Visium CID44971,spage,foxp1,0.225787843700992,0.6317362189292908
Breast Visium CID44971,spage,themis2,0.2254603528564031,0.34929394721984863
Breast Visium CID44971,spage,ccnd3,0.2235337284921585,0.6357145309448242
Breast Visium CID44971,spage,gzmk,0.2228655480425617,0.42142942547798157
Breast Visium CID44971,spage,tcf4,0.2220604385328322,0.43177658319473267
Breast Visium CID44971,spage,rbbp8,0.2209298421274219,0.5073264837265015
Breast Visium CID44971,spage,lrp1,0.220481769684632,0.46754005551338196
Breast Visium CID44971,spage,cyb5r3,0.220212344537978,0.679152250289917
Breast Visium CID44971,spage,vamp8,0.2189137574778917,0.7893033623695374
Breast Visium CID44971,spage,runx1,0.2185040277345226,0.6214437484741211
Breast Visium CID44971,spage,syngr2,0.217502427040003,0.7557714581489563
Breast Visium CID44971,spage,ncf2,0.2171231458628851,0.2925848960876465
Breast Visium CID44971,spage,ppt1,0.2159446142008791,0.60069340467453
Breast Visium CID44971,spage,mydgf,0.2141254899345361,0.714948296546936
Breast Visium CID44971,spage,tmbim6,0.2139965647265999,0.8742008805274963
Breast Visium CID44971,spage,creb3l4,0.2136015142978881,0.4519885778427124
Breast Visium CID44971,spage,cxcr3,0.2127957478193744,0.33130714297294617
Breast Visium CID44971,spage,mt-atp6,0.211911753608639,0.9838284850120544
Breast Visium CID44971,spage,herpud1,0.2112694120739147,0.7129698395729065
Breast Visium CID44971,spage,tmed10,0.2071345729839805,0.770252525806427
Breast Visium CID44971,spage,klf10,0.2033834021230846,0.45097029209136963
Breast Visium CID44971,spage,tk1,0.2016397776314013,0.40158188343048096
Breast Visium CID44971,spage,smim14,0.1999734040824919,0.5605373978614807
Breast Visium CID44971,spage,sema3g,0.1963976465070522,0.24568067491054535
Breast Visium CID44971,spage,icam2,0.1951913258500734,0.3854241371154785
Breast Visium CID44971,spage,icam3,0.1942691020572261,0.4145091474056244
Breast Visium CID44971,spage,s1pr1,0.1917961290075925,0.27353203296661377
Breast Visium CID44971,spage,tsc22d1,0.1915489462189904,0.6670231819152832
Breast Visium CID44971,spage,cd19,0.1901421063443535,0.22498932480812073
Breast Visium CID44971,spage,ptpn7,0.1894771442714631,0.33838117122650146
Breast Visium CID44971,spage,arhgap15,0.1892767267778521,0.31278231739997864
Breast Visium CID44971,spage,tram1,0.1881406960815641,0.7393236756324768
Breast Visium CID44971,spage,alox5ap,0.1876454921823985,0.4011521637439728
Breast Visium CID44971,spage,sept6,0.1872015345475306,0.5143284201622009
Breast Visium CID44971,spage,ccdc167,0.1837961526830471,0.5565977096557617
Breast Visium CID44971,spage,krt17,0.1818395446740023,0.38708317279815674
Breast Visium CID44971,spage,spn,0.1807053407693439,0.31729987263679504
Breast Visium CID44971,spage,slc9a3r2,0.1802343570237715,0.3210027515888214
Breast Visium CID44971,spage,plac8,0.1793203653093659,0.2938467562198639
Breast Visium CID44971,spage,ppic,0.1781962843975321,0.3630163371562958
Breast Visium CID44971,spage,efemp2,0.1771925063736578,0.3342720866203308
Breast Visium CID44971,spage,mt-nd4l,0.1761570587094733,0.8614035844802856
Breast Visium CID44971,spage,sptbn1,0.17422849464362,0.6521947383880615
Breast Visium CID44971,spage,plpp2,0.1740466886355076,0.5873434543609619
Breast Visium CID44971,spage,grb2,0.1716190280364482,0.6002185344696045
Breast Visium CID44971,spage,syk,0.170936667625562,0.3012409210205078
Breast Visium CID44971,spage,tinagl1,0.1704281070009601,0.45977142453193665
Breast Visium CID44971,spage,fgr,0.169616806367734,0.27051275968551636
Breast Visium CID44971,spage,npdc1,0.1685123414926872,0.5004754066467285
Breast Visium CID44971,spage,ctsw,0.1656796396970857,0.2689846158027649
Breast Visium CID44971,spage,ccdc50,0.1650100990696801,0.49438023567199707
Breast Visium CID44971,spage,btg1,0.1637251075713205,0.8054998517036438
Breast Visium CID44971,spage,smc4,0.1620106510889092,0.5062504410743713
Breast Visium CID44971,spage,camk1d,0.1592459112186026,0.299787700176239
Breast Visium CID44971,spage,fndc3a,0.158766515231624,0.5979738831520081
Breast Visium CID44971,spage,klrg1,0.1584696893030714,0.24105556309223175
Breast Visium CID44971,spage,col18a1,0.1568378151743475,0.4998922646045685
Breast Visium CID44971,spage,arsa,0.154107677443671,0.4299565553665161
Breast Visium CID44971,spage,lims2,0.1526413608296131,0.3296397626399994
Breast Visium CID44971,spage,skap1,0.1505815489407772,0.2536000907421112
Breast Visium CID44971,spage,hhex,0.1497911291303298,0.22012406587600708
Breast Visium CID44971,spage,mgat2,0.1475679740264226,0.4012552797794342
Breast Visium CID44971,spage,pik3ip1,0.1473167482781409,0.43897712230682373
Breast Visium CID44971,spage,hcfc1r1,0.1464150949390142,0.6242858171463013
Breast Visium CID44971,spage,nusap1,0.1433707861147304,0.2962127923965454
Breast Visium CID44971,spage,ass1,0.1422583597546645,0.46119552850723267
Breast Visium CID44971,spage,apobec3c,0.139891301135859,0.3794482946395874
Breast Visium CID44971,spage,socs3,0.1392312166942464,0.4023438096046448
Breast Visium CID44971,spage,cxcr6,0.138242063569545,0.26796266436576843
Breast Visium CID44971,spage,col14a1,0.1379786782141284,0.268436461687088
Breast Visium CID44971,spage,cdh3,0.1379144597227156,0.40492498874664307
Breast Visium CID44971,spage,fkbp2,0.1355755672412181,0.7256600260734558
Breast Visium CID44971,spage,fbxo2,0.1350580083009437,0.32066255807876587
Breast Visium CID44971,spage,pkig,0.1328487117715526,0.5055668950080872
Breast Visium CID44971,spage,mgst2,0.1306964851736815,0.39129361510276794
Breast Visium CID44971,spage,erlec1,0.1270305802532198,0.5827088356018066
Breast Visium CID44971,spage,dok3,0.1264105799228437,0.1860790103673935
Breast Visium CID44971,spage,sec61a1,0.1263546207247111,0.7688818573951721
Breast Visium CID44971,spage,steap4,0.1228694498970288,0.20926855504512787
Breast Visium CID44971,spage,arhgap1,0.122837436200871,0.5955411791801453
Breast Visium CID44971,spage,creb3l2,0.1197601034054416,0.5545976161956787
Breast Visium CID44971,spage,fam111a,0.1196970343061311,0.445390522480011
Breast Visium CID44971,spage,asf1b,0.1183723314985228,0.2361883670091629
Breast Visium CID44971,spage,sytl1,0.1178771897554191,0.48081067204475403
Breast Visium CID44971,spage,cmc1,0.1172745784843776,0.5206886529922485
Breast Visium CID44971,spage,rabac1,0.1162093492689048,0.750113308429718
Breast Visium CID44971,spage,kdr,0.1143199102865259,0.17109744250774384
Breast Visium CID44971,spage,bub3,0.1122084971455281,0.6022089719772339
Breast Visium CID44971,spage,glrx,0.1121444867706766,0.3555728793144226
Breast Visium CID44971,spage,fyn,0.112067512477391,0.3455730378627777
Breast Visium CID44971,spage,rgs10,0.1117098404993067,0.5909408926963806
Breast Visium CID44971,spage,dhfr,0.111400407289401,0.30317795276641846
Breast Visium CID44971,spage,hoxd9,0.11021034972582,0.17297466099262238
Breast Visium CID44971,spage,phldb2,0.1082412136369755,0.23392938077449799
Breast Visium CID44971,spage,sel1l,0.1063386224900396,0.4961428940296173
Breast Visium CID44971,spage,eps8,0.1036693611282637,0.3876321613788605
Breast Visium CID44971,spage,cd72,0.1019600550025296,0.20737294852733612
Breast Visium CID44971,spage,pask,0.0956623595124739,0.3113929331302643
Breast Visium CID44971,spage,ms4a1,0.0944530445661382,0.18331177532672882
Breast Visium CID44971,spage,nucb2,0.0930193886040142,0.40950003266334534
Breast Visium CID44971,spage,st6galnac4,0.0899182259241089,0.24932841956615448
Breast Visium CID44971,spage,bcl11b,0.0896537437636069,0.2588270902633667
Breast Visium CID44971,spage,lpcat4,0.089226945598493,0.3018803000450134
Breast Visium CID44971,spage,ptger2,0.0871728638375134,0.15084899961948395
Breast Visium CID44971,spage,hlf,0.0862337793296034,0.1837194412946701
Breast Visium CID44971,spage,rgma,0.0800555415692037,0.31888246536254883
Breast Visium CID44971,spage,oaz2,0.0795075697003967,0.5036750435829163
Breast Visium CID44971,spage,bag3,0.0770903936412767,0.3521485924720764
Breast Visium CID44971,spage,angpt2,0.075956163554525,0.11872931569814682
Breast Visium CID44971,spage,syt8,0.0745514292908673,0.20906464755535126
Breast Visium CID44971,spage,scarb1,0.0745401993121903,0.3948299288749695
Breast Visium CID44971,spage,lilrb3,0.0736644777782971,0.13883371651172638
Breast Visium CID44971,spage,ncr1,0.0695111713362679,0.0827924907207489
Breast Visium CID44971,spage,mfap4,0.0679784216198705,0.1800234019756317
Breast Visium CID44971,spage,faslg,0.0657594936716596,0.11530128866434097
Breast Visium CID44971,spage,camk4,0.0651071848649229,0.18834185600280762
Breast Visium CID44971,spage,klrd1,0.0650836818812812,0.14807216823101044
Breast Visium CID44971,spage,jakmip1,0.0648631473714266,0.10823708772659302
Breast Visium CID44971,spage,cxcr5,0.0644704391923947,0.10853483527898788
Breast Visium CID44971,spage,arrb1,0.0644139529462695,0.3382500410079956
Breast Visium CID44971,spage,bard1,0.0640347352710332,0.230967178940773
Breast Visium CID44971,spage,linc00926,0.0634511070567399,0.15620921552181244
Breast Visium CID44971,spage,syvn1,0.0595268206003292,0.46539223194122314
Breast Visium CID44971,spage,ctnnal1,0.0589808457887193,0.23825369775295258
Breast Visium CID44971,spage,themis,0.0585613214491242,0.14285574853420258
Breast Visium CID44971,spage,cux1,0.0580062234980691,0.3854621946811676
Breast Visium CID44971,spage,cbfa2t3,0.0576338848185045,0.15310747921466827
Breast Visium CID44971,spage,tnik,0.0545143943228567,0.18813608586788177
Breast Visium CID44971,spage,txk,0.0534876532036731,0.08242888003587723
Breast Visium CID44971,spage,tnfrsf17,0.0527609344221263,0.07623326778411865
Breast Visium CID44971,spage,arl11,0.0522427003644063,0.09301460534334183
Breast Visium CID44971,spage,tmigd2,0.0484223854417899,0.0831783190369606
Breast Visium CID44971,spage,cblb,0.0436689028833764,0.2872122526168823
Breast Visium CID44971,spage,pltp,0.04253551555778,0.3020673096179962
Breast Visium CID44971,spage,rbpms2,0.0413372828148434,0.09130411595106125
Breast Visium CID44971,spage,oxnad1,0.0388267561553285,0.23494872450828552
Breast Visium CID44971,spage,ca4,0.0337303221510522,0.05624275282025337
